,role,situated_at,unit_id,IS
467,Emeritus professor,Department of Humanities,STO0008632,EmeritusprofessorSTO0008632
468,Staff,BUC - Central University Library,STO0012835,StaffSTO0012835
469,Staff,Department of Humanities,STO0008632,StaffSTO0008632
470,Emeritus professor,Department of Psychology and Cognitive Science,STO0008631,EmeritusprofessorSTO0008631
471,Deputy dean,Department of Humanities,STO0008632,DeputydeanSTO0008632
472,Head,Diversity Management,STO0012548,HeadSTO0012548
473,Staff,Diversity Management,STO0012548,StaffSTO0012548
474,Rector's delegate for Vocational and Continuing Training,University of Trento,STO0000001,Rector'sdelegateforVocationalandContinuingTrainingSTO0000001
475,Adjunct professor,Department of Economics and Management,STO0008621,AdjunctprofessorSTO0008621
476,Executive assistant to the Head of the Direction,Office of the Directorate of IT and Library Services,STO0000871,ExecutiveassistanttotheHeadoftheDirectionSTO0000871
477,Staff,Office of the Directorate of IT and Library Services,STO0000871,StaffSTO0000871
478,Deputy coordinator,Doctoral Program in Industrial Innovation (M.D. 45/2013),STO0012998,DeputycoordinatorSTO0012998
479,Guest,Doctoral Program in Industrial Innovation (M.D. 45/2013),STO0012998,GuestSTO0012998
480,Vice-Rector for Teaching and Learning,University of Trento,STO0000001,Vice-RectorforTeachingandLearningSTO0000001
481,Deputy dean,Department of Industrial Engineering,STO0008625,DeputydeanSTO0008625
482,Visiting professor,Department of Information Engineering and Computer Science,STO0008629,VisitingprofessorSTO0008629
483,Staff,"Network, TLC and ICT Security",STO0000885,StaffSTO0000885
484,Deputy dean,Department of Psychology and Cognitive Science,STO0008631,DeputydeanSTO0008631
485,Rector's delegate for the Animal Welfare Committee,University of Trento,STO0000001,Rector'sdelegatefortheAnimalWelfareCommitteeSTO0000001
486,Director,Department of Mathematics,STO0008628,DirectorSTO0008628
487,President,Committee for Recruitment and Career Advancement,ORI0000161,PresidentORI0000161
488,Implementation of the Development Plan,University of Trento,STO0000001,ImplementationoftheDevelopmentPlanSTO0000001
489,Head,Faculty of Law - Department Staff,STO0008909,HeadSTO0008909
490,Research grant holder,School of International Studies - SIS,STO0008633,ResearchgrantholderSTO0008633
491,Students' representative to the Academic Senate,Academic Senate,ORI0000002,Students'representativetotheAcademicSenateORI0000002
492,Member,Committee for the Implementation of the Code of Ethics,ORI0000274,MemberORI0000274
493,Sport with Special Mandate for the 2026 Winter Olympics,University of Trento,STO0000001,SportwithSpecialMandateforthe2026WinterOlympicsSTO0000001
494,President,Sports council,ORI0000279,PresidentORI0000279
495,Head,Student Activities Office,STO0000958,HeadSTO0000958
496,Head,Psychology and Cognitive science - Department Staff,STO0008910,HeadSTO0008910
497,Head,Partnerships and Corruption Prevention,STO0012552,HeadSTO0012552
498,Staff,Partnerships and Corruption Prevention,STO0012552,StaffSTO0012552
499,Rector's delegate for Alumni,University of Trento,STO0000001,Rector'sdelegateforAlumniSTO0000001
500,Head,Physical Science Laboratories,STO0013708,HeadSTO0013708
501,Head,Technical Support and Relations with the Educational System,STO0008865,HeadSTO0008865
502,Staff,Technical Support and Relations with the Educational System,STO0008865,StaffSTO0008865
503,Staff,Engineering Division,STO0012900,StaffSTO0012900
504,Deputy dean,Department of Information Engineering and Computer Science,STO0008629,DeputydeanSTO0008629
505,Staff,"Infrastructure, Collaboration and ICT Security Services Division",STO0012557,StaffSTO0012557
506,Deputy coordinator,Doctoral programme вЂ“ International studies,STO0000462,DeputycoordinatorSTO0000462
507,Associate professor,Doctoral programme вЂ“ International studies,STO0000462,AssociateprofessorSTO0000462
508,Head,ICT Services Division -  Rovereto,STO0008877,HeadSTO0008877
509,Staff,ICT Services Division -  Rovereto,STO0008877,StaffSTO0008877
510,Head,Research Outputs Office,STO0001641,HeadSTO0001641
511,Guest,Doctoral School of Social Sciences,STO0000371,GuestSTO0000371
512,Deputy coordinator,Doctoral Program in Agrifood and Environmental Sciences (D.M.45/2013),STO0012999,DeputycoordinatorSTO0012999
513,Full professor,Doctoral Program in Agrifood and Environmental Sciences (D.M.45/2013),STO0012999,FullprofessorSTO0012999
514,Staff,Financial Management,STO0000273,StaffSTO0000273
515,Head,Technicians - Hydraulics and Soil Defence Laboratory,STO0012809,HeadSTO0012809
516,Guest,Faculty of Law - Department Staff,STO0008909,GuestSTO0008909
517,Head,"Systems Management, HPC and Data Center",STO0000399,HeadSTO0000399
518,Staff,"Systems Management, HPC and Data Center",STO0000399,StaffSTO0000399
519,Deputy coordinator,Doctoral programme вЂ“ Biomolecular Sciences,STO0002101,DeputycoordinatorSTO0002101
520,Associate professor,Doctoral programme вЂ“ Biomolecular Sciences,STO0002101,AssociateprofessorSTO0002101
521,Staff,Emerging solutions,STO0012560,StaffSTO0012560
522,Head,Directorate of IT and Library Services,STO0000870,HeadSTO0000870
523,Chief digital transformation officer,University of Trento,STO0000001,ChiefdigitaltransformationofficerSTO0000001
524,Senior staff,Directorate of IT and Library Services,STO0000870,SeniorstaffSTO0000870
525,Teaching fellow,Center for Mind/Brain Sciences - CIMeC,STO0008663,TeachingfellowSTO0008663
526,Head,Biotechnology Laboratories,STO0013709,HeadSTO0013709
527,Head,Architecture Division,STO0012899,HeadSTO0012899
528,Data Protection Officer,University of Trento,STO0000001,DataProtectionOfficerSTO0000001
529,Staff,Buildings Managementand Maintenance Division,STO0000902,StaffSTO0000902
530,Staff,Induction and Additional Services,STO0000869,StaffSTO0000869
531,Collaborator,Department of Sociology and social research,STO0008630,CollaboratorSTO0008630
532,Deputy coordinator,Doctoral programme вЂ“ Physics,STO0000435,DeputycoordinatorSTO0000435
533,Associate professor,Doctoral programme вЂ“ Physics,STO0000435,AssociateprofessorSTO0000435
534,Research collaborator,Centre Agriculture Food Environment - C3A,STO0012250,ResearchcollaboratorSTO0012250
535,Research grant holder,Department of Economics and Management,STO0008621,ResearchgrantholderSTO0008621
536,Deputy coordinator,Doctoral programme вЂ“ Mathematics,STO0000461,DeputycoordinatorSTO0000461
537,Associate professor,Doctoral programme вЂ“ Mathematics,STO0000461,AssociateprofessorSTO0000461
538,Director,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,DirectorSTO0008662
539,Rector's delegate for Disability Support,University of Trento,STO0000001,Rector'sdelegateforDisabilitySupportSTO0000001
540,Staff,Education and student services - Medical sciences area,STO0013563,StaffSTO0013563
541,Executive assistant to the Head of the Direction,General-Secretary Education and Student Services,STO0000948,ExecutiveassistanttotheHeadoftheDirectionSTO0000948
542,Head,Building management - Rovereto and Mattarello,STO0000905,HeadSTO0000905
543,Staff,Building management - Rovereto and Mattarello,STO0000905,StaffSTO0000905
544,Head,"Management of national, EU and international research programmes office",STO0013561,HeadSTO0013561
545,Head,Research Management Division,STO0013559,HeadSTO0013559
546,Staff,Research Management Division,STO0013559,StaffSTO0013559
547,Staff,Storage,STO0000355,StaffSTO0000355
548,Head,Recruitment and Relations with Trade Unions,STO0012831,HeadSTO0012831
549,Staff,Recruitment and Relations with Trade Unions,STO0012831,StaffSTO0012831
550,Head,Research ethics and integrity office,STO0013548,HeadSTO0013548
551,Head,Research Support Office,STO0013551,HeadSTO0013551
552,Head,Research Support Division,STO0013550,HeadSTO0013550
553,Staff,Research ethics and integrity office,STO0013548,StaffSTO0013548
554,Staff,Research Support Office,STO0013551,StaffSTO0013551
555,Staff,Research Support Division,STO0013550,StaffSTO0013550
556,Staff,Staff Evaluation and Organization,STO0000887,StaffSTO0000887
557,Head,Cataloguing and Acquisitions Office,STO0012833,HeadSTO0012833
558,President,Board of Directors,ORI0000003,PresidentORI0000003
559,President,Research Ethics Committee,ORI0000283,PresidentORI0000283
560,Head,Digital services for research office,STO0013557,HeadSTO0013557
561,Head,Dissemination and Evaluation of Research Outputs Division,STO0013556,HeadSTO0013556
562,Staff,Digital services for research office,STO0013557,StaffSTO0013557
563,Staff,Dissemination and Evaluation of Research Outputs Division,STO0013556,StaffSTO0013556
564,Adjunct professor,Department of Humanities,STO0008632,AdjunctprofessorSTO0008632
565,Head,Middleware development,STO0012563,HeadSTO0012563
566,Deputy coordinator,Doctoral programme - Cognitive and Brain Sciences,STO0000432,DeputycoordinatorSTO0000432
567,Head,Student Support Service - Science and technology area - Mesiano,STO0013746,HeadSTO0013746
568,Head,Storage,STO0000355,HeadSTO0000355
569,Head,Electronics and Design Planning,STO0000335,HeadSTO0000335
570,Senior researcher,Department of Physics,STO0008627,SeniorresearcherSTO0008627
571,Staff,Sociology and Social Research - Technical Support,STO0008906,StaffSTO0008906
572,Adjunct professor,Department of Mathematics,STO0008628,AdjunctprofessorSTO0008628
573,Student representative in the board of directors of Opera Universitaria,University of Trento,STO0000001,StudentrepresentativeintheboardofdirectorsofOperaUniversitariaSTO0000001
574,Deputy coordinator,Doctoral programme вЂ“ Information and Communication Technology,STO0000451,DeputycoordinatorSTO0000451
575,Associate professor,Doctoral programme вЂ“ Information and Communication Technology,STO0000451,AssociateprofessorSTO0000451
576,Deputy coordinator,Doctoral programme - Economics and management (Doctoral School of Social Sciences),STO0004803,DeputycoordinatorSTO0004803
577,Associate professor,Doctoral programme - Economics and management (Doctoral School of Social Sciences),STO0004803,AssociateprofessorSTO0004803
578,Head,Technicians - Materials and Structures Testing Laboratory,STO0012808,HeadSTO0012808
579,Head,Prevention and Protection Service,STO0000123,HeadSTO0000123
580,President,Committee for the Implementation of the Code of Ethics,ORI0000274,PresidentORI0000274
581,Staff,Office of the Directorate of Communication and External Relations,STO0013542,StaffSTO0013542
582,Head,Legal Office,STO0000843,HeadSTO0000843
583,Staff,Legal Office,STO0000843,StaffSTO0000843
584,Head,Events Office,STO0012553,HeadSTO0012553
585,Head,Alumni office,STO0013543,HeadSTO0013543
586,Director General,University of Trento,STO0000001,DirectorGeneralSTO0000001
587,Head,Central Management,STO0000012,HeadSTO0000012
588,Head,"Legal services, Partnerships, Corruption Prevention",STO0012278,HeadSTO0012278
589,Head,Support to Evaluation and Quality Assurance,STO0012898,HeadSTO0012898
590,Anti-corruption Officer,University of Trento,STO0000001,Anti-corruptionOfficerSTO0000001
591,Senior staff,Central Management,STO0000012,SeniorstaffSTO0000012
592,Senior staff,"Legal services, Partnerships, Corruption Prevention",STO0012278,SeniorstaffSTO0012278
593,Senior staff,Support to Evaluation and Quality Assurance,STO0012898,SeniorstaffSTO0012898
594,Head,Financial Management,STO0000273,HeadSTO0000273
595,Head,Mathematics - Department Staff,STO0008894,HeadSTO0008894
596,Head,CIMeC - Technical and IT Support,STO0008913,HeadSTO0008913
597,Head,Building management - Povo-Mesiano,STO0000242,HeadSTO0000242
598,Senior Professor,Center for Mind/Brain Sciences - CIMeC,STO0008663,SeniorProfessorSTO0008663
599,Staff,Faculty of Law,STO0008624,StaffSTO0008624
600,Rector's delegate for Open Access and Copyright Policies,University of Trento,STO0000001,Rector'sdelegateforOpenAccessandCopyrightPoliciesSTO0000001
601,Director,Centre for Medical Sciences - CISMED,STO0013533,DirectorSTO0013533
602,Staff,ICT Services for Staff,STO0013554,StaffSTO0013554
603,Head,ICT Services for Staff,STO0013554,HeadSTO0013554
604,Coordinator,"Doctoral programme вЂ“ Civil, environmental and mechanical engineering",STO0009561,CoordinatorSTO0009561
605,Full professor,"Doctoral programme вЂ“ Civil, environmental and mechanical engineering",STO0009561,FullprofessorSTO0009561
606,Head,Emerging solutions,STO0012560,HeadSTO0012560
607,Deputy dean,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,DeputydeanSTO0008626
608,Staff,Mesiano University Library (BUM) room,STO0000292,StaffSTO0000292
609,Head,Buildings Managementand Maintenance Division,STO0000902,HeadSTO0000902
610,Coordinator,Doctoral programme вЂ“ Information and Communication Technology,STO0000451,CoordinatorSTO0000451
611,Students' representative,Center for Mind/Brain Sciences-CIMeC - Council,ORI0000273,Students'representativeORI0000273
612,Head,Staff Evaluation and Organization,STO0000887,HeadSTO0000887
613,Head,Employee Relations Division - Academic and Teaching Staff,STO0000867,HeadSTO0000867
614,Staff,Employee Relations Division - Academic and Teaching Staff,STO0000867,StaffSTO0000867
615,Student ombudsman,University of Trento,STO0000001,StudentombudsmanSTO0000001
616,Director,School of International Studies - SIS,STO0008633,DirectorSTO0008633
617,Staff,Education and Student Services - Humanities and Social Sciences Area,STO0008923,StaffSTO0008923
618,Coordinator,Doctoral Program in Industrial Innovation (M.D. 45/2013),STO0012998,CoordinatorSTO0012998
619,Full professor,Doctoral Program in Industrial Innovation (M.D. 45/2013),STO0012998,FullprofessorSTO0012998
620,Staff,Privacy Compliance,STO0013549,StaffSTO0013549
621,Head,Sociology and Social Research - Department Staff,STO0008905,HeadSTO0008905
622,Head,Procurement Office,STO0000413,HeadSTO0000413
623,Director,Department of Humanities,STO0008632,DirectorSTO0008632
624,Rector's Delegate for musical activities,University of Trento,STO0000001,Rector'sDelegateformusicalactivitiesSTO0000001
625,Head,Privacy Compliance,STO0013549,HeadSTO0013549
626,Rector's delegate for Science Communication and Orientation for High-School Students,University of Trento,STO0000001,Rector'sdelegateforScienceCommunicationandOrientationforHigh-SchoolStudentsSTO0000001
627,Head,Purchasing and Accounting - Trento,STO0008891,HeadSTO0008891
628,Head,Contracts and Procurement Division,STO0000903,HeadSTO0000903
629,Staff,Contracts and Procurement Division,STO0000903,StaffSTO0000903
630,Head,Relations with employers and local organizations,STO0013040,HeadSTO0013040
631,Head,Job Guidance,STO0008936,HeadSTO0008936
632,Staff,Relations with employers and local organizations,STO0013040,StaffSTO0013040
633,Rector's delegate for Doctoral Programmes,University of Trento,STO0000001,Rector'sdelegateforDoctoralProgrammesSTO0000001
634,Head,Branding and Graphic Design Office,STO0000946,HeadSTO0000946
635,Students' representative,"Consiglio del Centro Agricoltura, Alimenti, Ambiente - C3A",ORI0000282,Students'representativeORI0000282
636,Rector's delegate for Language Education,University of Trento,STO0000001,Rector'sdelegateforLanguageEducationSTO0000001
637,President,The University Animal Welfare Committee (OPBA),ORI0000275,PresidentORI0000275
638,Coordinator,Doctoral programme вЂ“ Physics,STO0000435,CoordinatorSTO0000435
639,Head,Humanities and Cognitive Science Area - PhD Office,STO0008924,HeadSTO0008924
640,Head,Sports office,STO0013544,HeadSTO0013544
641,Head,Special Projects,STO0013041,HeadSTO0013041
642,Head,Science and Technology Area - PhD Office,STO0008926,HeadSTO0008926
643,Head,Education and Student Services - Science and technology area,STO0008932,HeadSTO0008932
644,Staff,Administration and Accounting Services - Rovereto,STO0008887,StaffSTO0008887
645,Head,HR Development and Organization,STO0000886,HeadSTO0000886
646,Staff,HR Development and Organization,STO0000886,StaffSTO0000886
647,Head,Education and Student Services coordination,STO0012565,HeadSTO0012565
648,Staff,Education and Student Services coordination,STO0012565,StaffSTO0012565
649,Head,"Network, TLC and ICT Security",STO0000885,HeadSTO0000885
650,Head,"Language Centre, Test Center and Digital Teaching Resources",STO0008921,HeadSTO0008921
651,Head,Administration and Accounting Services - Rovereto,STO0008887,HeadSTO0008887
652,Head,Planning Division,STO0000863,HeadSTO0000863
653,Head,Director General support and document drafting,STO0013730,HeadSTO0013730
654,Staff,Director General support and document drafting,STO0013730,StaffSTO0013730
655,Staff,Communications Staff - Rovereto,STO0008863,StaffSTO0008863
656,Head,CIBIO - Department Staff,STO0008915,HeadSTO0008915
657,Head,Mesiano University Library (BUM) room,STO0000292,HeadSTO0000292
658,Head,Information Engineering and Computer Science - Department Staff,STO0008895,HeadSTO0008895
659,Head,"Civil, Environmental and Mechanical Engineering - Department Staff",STO0008901,HeadSTO0008901
660,Deputy coordinator,"Doctoral programme - Culture d'Europa. Ambiente, spazi, storie, arti, idee",STO0010808,DeputycoordinatorSTO0010808
661,Associate professor,"Doctoral programme - Culture d'Europa. Ambiente, spazi, storie, arti, idee",STO0010808,AssociateprofessorSTO0010808
662,Staff,Funded research staff - Trento,STO0008881,StaffSTO0008881
663,Staff,Economics and Management - Laboratory Technicians,STO0008908,StaffSTO0008908
664,Head,"Infrastructure, Collaboration and ICT Security Services Division",STO0012557,HeadSTO0012557
665,Head,Privacy regulation,STO0013545,HeadSTO0013545
666,Staff,Privacy regulation,STO0013545,StaffSTO0013545
667,Head,CisMed staff,STO0013669,HeadSTO0013669
668,Staff,CisMed staff,STO0013669,StaffSTO0013669
669,Head,Education and Student Services - Humanities and Social Sciences Area,STO0008923,HeadSTO0008923
670,President,Board of Discipline,ORI0000278,PresidentORI0000278
671,Head,Humanities - Department Staff,STO0008903,HeadSTO0008903
672,Head,Economics and Management - Department Staff,STO0008907,HeadSTO0008907
673,Adjunct professor,Department of Sociology and social research,STO0008630,AdjunctprofessorSTO0008630
674,Head,Technical and Administrative Staff Administration,STO0000883,HeadSTO0000883
675,Head,"Events, Branding and Graphic Design Division",STO0000943,HeadSTO0000943
676,Staff,"Events, Branding and Graphic Design Division",STO0000943,StaffSTO0000943
677,Director,Department of Economics and Management,STO0008621,DirectorSTO0008621
678,Staff,CeRiN - Center for Neurocognitive Rehabilitation,STO0001821,StaffSTO0001821
679,Deputy coordinator,Doctoral programme (D.M.45/2013) вЂ“ Cognitive Science,STO0012756,DeputycoordinatorSTO0012756
680,Associate professor,Doctoral programme (D.M.45/2013) вЂ“ Cognitive Science,STO0012756,AssociateprofessorSTO0012756
681,Head,Environmental and Safety Services Division,STO0013074,HeadSTO0013074
682,Staff,Environmental and Safety Services Division,STO0013074,StaffSTO0013074
683,Deputy coordinator,Doctoral programme - Sociology and Social Research (Doctoral School of Social Sciences),STO0004802,DeputycoordinatorSTO0004802
684,Associate professor,Doctoral programme - Sociology and Social Research (Doctoral School of Social Sciences),STO0004802,AssociateprofessorSTO0004802
685,Coordinator,Doctoral programme (D.M.45/2013) вЂ“ Cognitive Science,STO0012756,CoordinatorSTO0012756
686,Full professor,Doctoral programme (D.M.45/2013) вЂ“ Cognitive Science,STO0012756,FullprofessorSTO0012756
687,Head,Information services in support of academic activities,STO0012559,HeadSTO0012559
688,Head,Laboratory staff,STO0013711,HeadSTO0013711
689,Head,Division for the Valorization and Impact of Research,STO0013553,HeadSTO0013553
690,Guest,Human Resources and Organization,STO0000143,GuestSTO0000143
691,Collaborator,Prevention and Protection Service,STO0000123,CollaboratorSTO0000123
692,Research collaborator,Department of Physics,STO0008627,ResearchcollaboratorSTO0008627
693,Visiting professor,Department of Sociology and social research,STO0008630,VisitingprofessorSTO0008630
694,Head,BUC Rooms and Training,STO0012836,HeadSTO0012836
695,Head,BUC - Central University Library,STO0012835,HeadSTO0012835
696,Head,Library - Acquisitions and Contracts Division,STO0012832,HeadSTO0012832
697,Staff,Directorate of IT and Library Services,STO0000870,StaffSTO0000870
698,Rector's delegate for Academic and International Solidarity,University of Trento,STO0000001,Rector'sdelegateforAcademicandInternationalSolidaritySTO0000001
699,Rector's delegate for Development Cooperation,University of Trento,STO0000001,Rector'sdelegateforDevelopmentCooperationSTO0000001
700,Staff,Human Resources and Organization,STO0000143,StaffSTO0000143
701,Head,Induction and Additional Services,STO0000869,HeadSTO0000869
702,Director,Department of Sociology and social research,STO0008630,DirectorSTO0008630
703,Coordinator,"PhD programme (Ministerial Decree 45/2013) - Sustainability: Economics, Environment, Management and Society",STO0013318,CoordinatorSTO0013318
704,Head,Engineering Division,STO0012900,HeadSTO0012900
705,Head,Collegial Bodies and Programmatic Agreements,STO0000268,HeadSTO0000268
706,Head,Model Organism Facility staff,STO0013712,HeadSTO0013712
707,Staff,Model Organism Facility staff,STO0013712,StaffSTO0013712
708,Staff,C3A staff,STO0013547,StaffSTO0013547
709,Senior Professor,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,SeniorProfessorSTO0008626
710,Director,Department of Industrial Engineering,STO0008625,DirectorSTO0008625
711,Head,Administration and Accounting Services - Povo,STO0008885,HeadSTO0008885
712,Emeritus professor,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,EmeritusprofessorSTO0008626
713,Deputy coordinator,"Doctoral programme вЂ“ Materials, Mechatronics and Systems Engineering",STO0009701,DeputycoordinatorSTO0009701
714,Associate professor,"Doctoral programme вЂ“ Materials, Mechatronics and Systems Engineering",STO0009701,AssociateprofessorSTO0009701
715,Rector's delegate for Support to the Business Sector,University of Trento,STO0000001,Rector'sdelegateforSupporttotheBusinessSectorSTO0000001
716,President,"Committee for Equal Opportunities, Well-being at Work and Against Discriminations (CUG)",ORI0000241,PresidentORI0000241
717,Coordinator,"Doctoral programme - Culture d'Europa. Ambiente, spazi, storie, arti, idee",STO0010808,CoordinatorSTO0010808
718,Full professor,"Doctoral programme - Culture d'Europa. Ambiente, spazi, storie, arti, idee",STO0010808,FullprofessorSTO0010808
719,Rector's delegate for Press and Communication,University of Trento,STO0000001,Rector'sdelegateforPressandCommunicationSTO0000001
720,Vice-Rector for Organizational Well-Being and Employee Relations,University of Trento,STO0000001,Vice-RectorforOrganizationalWell-BeingandEmployeeRelationsSTO0000001
721,President,Library Committee,ORI0000081,PresidentORI0000081
722,President,Quality Committee,ORI0000181,PresidentORI0000181
723,Deputy coordinator,Doctoral programme вЂ“ Comparative and European legal studies,STO0000434,DeputycoordinatorSTO0000434
724,Director,Department of Information Engineering and Computer Science,STO0008629,DirectorSTO0008629
725,Rector's delegate for Safety in the workplace,University of Trento,STO0000001,Rector'sdelegateforSafetyintheworkplaceSTO0000001
726,Deputy dean,Department of Mathematics,STO0008628,DeputydeanSTO0008628
727,Deputy dean,Department of Physics,STO0008627,DeputydeanSTO0008627
728,Head,Technical Services Coordination - Science Departments,STO0000366,HeadSTO0000366
729,Coordinator,Doctoral programme - Economics and management (Doctoral School of Social Sciences),STO0004803,CoordinatorSTO0004803
730,Full professor,Doctoral programme - Economics and management (Doctoral School of Social Sciences),STO0004803,FullprofessorSTO0004803
731,Staff,Support to the Centro Studi Martino Martini,STO0012231,StaffSTO0012231
732,Coordinator,Doctoral programme вЂ“ Mathematics,STO0000461,CoordinatorSTO0000461
733,Full professor,Doctoral programme вЂ“ Mathematics,STO0000461,FullprofessorSTO0000461
734,Head,Scientific Publications Office,STO0013558,HeadSTO0013558
735,Head,Estates Directorate,STO0000266,HeadSTO0000266
736,Head,Construction Projects and Contracts Office,STO0013625,HeadSTO0013625
737,Head,Property and Real Estate Division,STO0000160,HeadSTO0000160
738,Senior staff,Estates Directorate,STO0000266,SeniorstaffSTO0000266
739,Senior staff,Construction Projects and Contracts Office,STO0013625,SeniorstaffSTO0013625
740,Senior staff,Property and Real Estate Division,STO0000160,SeniorstaffSTO0000160
741,Coordinator,Doctoral programme - Le Forme del Testo,STO0010809,CoordinatorSTO0010809
742,Coordinator,Doctoral programme (D.M.45/2013) - Forms of cultural exchange,STO0013015,CoordinatorSTO0013015
743,Full professor,Doctoral programme - Le Forme del Testo,STO0010809,FullprofessorSTO0010809
744,Full professor,Doctoral programme (D.M.45/2013) - Forms of cultural exchange,STO0013015,FullprofessorSTO0013015
745,Head,Center for Mind/Brain Sciences - Staff,STO0008912,HeadSTO0008912
746,Head,E-Learning,STO0000962,HeadSTO0000962
747,Head,Training and Continuing Professional Development,STO0000235,HeadSTO0000235
748,Head,C3A staff,STO0013547,HeadSTO0013547
749,Deputy dean,Centre for Medical Sciences - CISMED,STO0013533,DeputydeanSTO0013533
750,Head,Core Facilities,STO0013710,HeadSTO0013710
751,President,Board of Auditors,ORI0000006,PresidentORI0000006
752,Collaborator,School of International Studies - SIS,STO0008633,CollaboratorSTO0008633
753,Head,Admissions and Inclusion Office,STO0012566,HeadSTO0012566
754,Head,Employee Relations and Payroll Division - Technical and Administrative Staff,STO0000879,HeadSTO0000879
755,Collaborator,International Relations,STO0012564,CollaboratorSTO0012564
756,Visiting professor,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,VisitingprofessorSTO0008626
757,Guest,Support to the Centro Studi Martino Martini,STO0012231,GuestSTO0012231
