,role,situated_at,unit_id,IS
201,Staff,Funded research staff - Povo-Mesiano,STO0013552,StaffSTO0013552
202,Research grant holder,Department of Information Engineering and Computer Science,STO0008629,ResearchgrantholderSTO0008629
203,Staff,Doctoral School of Social Sciences,STO0000371,StaffSTO0000371
204,Staff,Admissions and Inclusion Office,STO0012566,StaffSTO0012566
205,Executive assistant to the Head of the Direction,Human Resources and Administration Office,STO0000148,ExecutiveassistanttotheHeadoftheDirectionSTO0000148
206,Staff,Human Resources and Administration Office,STO0000148,StaffSTO0000148
207,Teaching fellow,Department of Psychology and Cognitive Science,STO0008631,TeachingfellowSTO0008631
208,Staff,Web and Social Media Office,STO0012554,StaffSTO0012554
209,Coordinator,Doctoral programme вЂ“ International studies,STO0000462,CoordinatorSTO0000462
210,Full professor,Doctoral programme вЂ“ International studies,STO0000462,FullprofessorSTO0000462
211,Member,Patent commission,ORI0000280,MemberORI0000280
212,Staff,Technical Services Coordination - Science Departments,STO0000366,StaffSTO0000366
213,Rector's delegate for Student Services and Relations,University of Trento,STO0000001,Rector'sdelegateforStudentServicesandRelationsSTO0000001
214,Staff,Test Center,STO0000398,StaffSTO0000398
215,Staff,Humanities - Laboratory Technicians,STO0008904,StaffSTO0008904
216,Research fellow,Department of Sociology and social research,STO0008630,ResearchfellowSTO0008630
217,Head,Test Center,STO0000398,HeadSTO0000398
218,Vice-Rector for the Development of International Relationships,University of Trento,STO0000001,Vice-RectorfortheDevelopmentofInternationalRelationshipsSTO0000001
219,Member,Evaluation Group,ORI0000005,MemberORI0000005
220,Staff,Faculty of Law - Department Staff,STO0008909,StaffSTO0008909
221,Head,Contract Office,STO0000907,HeadSTO0000907
222,Member,Committee for Recruitment and Career Advancement,ORI0000161,MemberORI0000161
223,RectorвЂ™s delegate for the Research Ethics Committee,Research Ethics Committee,ORI0000283,RectorвЂ™sdelegatefortheResearchEthicsCommitteeORI0000283
224,Vice-president,Research Ethics Committee,ORI0000283,Vice-presidentORI0000283
225,Staff,Humanities and Cognitive Science Area - PhD Office,STO0008924,StaffSTO0008924
226,Head,International Mobility Office - Social Sciences Area and Humanities,STO0012567,HeadSTO0012567
227,Staff,Psychology and Cognitive science - Department Staff,STO0008910,StaffSTO0008910
228,Teaching assistant,Centre for Medical Sciences - CISMED,STO0013533,TeachingassistantSTO0013533
229,Staff,Teaching and Research Laboratories,STO0008878,StaffSTO0008878
230,Staff,Mechanics,STO0000336,StaffSTO0000336
231,Staff,"Civil, Environmental and Mechanical Engineering - Department Staff",STO0008901,StaffSTO0008901
232,Staff,Student Support Service - Science and technology area - Mesiano,STO0013746,StaffSTO0013746
