department_id,name_dep,director,address,website
STO0008662,"Dipartimento di Biologia Cellulare, Computazionale e Integrata - CIBIO",Paolo Macchi,"Via Sommarive, 9, Povo, 38123 TN",http://www.cibio.unitn.it
STO0008621,Dipartimento di Economia e Management,Flavio Bazzana,"Via Vigilio Inama, 5, Trento, 38122 TN",http://www.economia.unitn.it
STO0008627,Dipartimento di Fisica,Franco Dalfovo,"Via Sommarive, 14, Povo, 38123 TN",http://www.physics.unitn.it
STO0008626,Dipartimento di Ingegneria Civile Ambientale e Meccanica,Oreste S. Bursi,"Via Mesiano, 77, 38123 Trento",http://www.dicam.unitn.it/
STO0008629,Dipartimento di Ingegneria e Scienza dell'Informazione,Paolo Giorgini,"Via Sommarive, 9, Povo, 38123 TN",https://www.disi.unitn.it
STO0008625,Dipartimento di Ingegneria Industriale,Alessandro Pegoretti,"Via Sommarive, 9, Povo, 38123 TN",http://www.dii.unitn.it
STO0008632,Dipartimento di Lettere e Filosofia,Marco Gozzi,"Via Tomaso Gar, 14, Trento, TN",http://www.lettere.unitn.it/
STO0008628,Dipartimento di Matematica,Ana Maria Alonso Rodriguez,"Via Sommarive, 14, 38123 Povo TN",http://www.maths.unitn.it/
STO0008631,Dipartimento di Psicologia e Scienze Cognitive,Jeroen Andre Filip Vaes,"Corso Bettini, 84, Rovereto, 38068 TN",http://www.cogsci.unitn.it/
STO0008630,Dipartimento di Sociologia e Ricerca Sociale,Giuseppe Sciortino,"Via Giuseppe Verdi, 26, 38122 Trento",http://www.sociologia.unitn.it
STO0008624,Facoltà di Giurisprudenza,Gian Antonio Benacchio,"Via Giuseppe Verdi, 53, 38122 Trento",http://www.giurisprudenza.unitn.it
STO0012250,Centro Agricoltura Alimenti Ambiente - C3A,Alberto Bellin,"Via Edmund Mach, 1, 38010 San Michele All'adige TN",http://www.centro3a.unitn.it
STO0013533,Centro Interdipartimentale di Scienze Mediche - CISMED,Olivier Jousson,"via S. Maria Maddalena, 1, 38122 Trento",https://www.cismed.unitn.it/
STO0008663,Centro Interdipartimentale Mente/Cervello - CIMEC,Yuri Bozzi,"Corso Bettini, 31, Rovereto, 38068 TN",http://www.cimec.unitn.it
STO0008633,Scuola di Studi Internazionali - SSI,Stefano Schiavo,"Via Tomaso Gar, 14, Trento, 38122 TN",http://www.sis.unitn.it
STO0011639,CLA,Fabiana Rosi,"Via Verdi, 8, 38122 Trento",https://www.cla.unitn.it/
